tag,batch_size,max_tokens,elapsed_s,output_tokens,tokens_per_s,requests_per_s,latency_mean_s,latency_p95_s,peak_vram_gib
fp16_util0.85,1,128,4.45,128,28.8,0.22,4.451,4.451,0.0
fp16_util0.85,2,128,3.63,256,70.6,0.55,3.628,3.628,0.0
fp16_util0.85,4,128,3.72,512,137.7,1.08,3.718,3.718,0.0
fp16_util0.85,8,128,3.85,1024,265.9,2.08,3.852,3.852,0.0
fp16_util0.85,16,128,4.14,2048,494.6,3.86,4.141,4.141,0.0
fp16_util0.85,32,128,5.09,4096,804.9,6.29,5.089,5.089,0.0
fp16_util0.85,64,128,5.9,8192,1387.5,10.84,5.904,5.904,0.0
fp16_util0.85,128,128,7.44,16384,2202.8,17.21,7.438,7.438,0.0
fp16_util0.85,256,128,12.47,32768,2627.1,20.52,12.473,12.473,0.0
fp16_util0.85,512,128,25.88,65536,2532.4,19.78,25.879,25.879,0.0
